internalTaxonId,actionCode,actionName
175221,3.2,Species recovery
175221,3.4.2,Genome resource bank
175221,1.1,Site/area protection
175221,1.2,Resource & habitat protection
186162,1.1,Site/area protection
186162,1.2,Resource & habitat protection
48886608,1.2,Resource & habitat protection
48874314,1.1,Site/area protection
48874474,1.1,Site/area protection
48874474,1.2,Resource & habitat protection
48874286,1.1,Site/area protection
48874286,4.3,Awareness & communications
48874286,1.2,Resource & habitat protection
48874266,1.1,Site/area protection
48874266,1.2,Resource & habitat protection
48874250,1.1,Site/area protection
48874225,1.1,Site/area protection
48874225,4.3,Awareness & communications
48874225,1.2,Resource & habitat protection
48874189,1.1,Site/area protection
48874189,4.3,Awareness & communications
48874189,1.2,Resource & habitat protection
48874217,1.1,Site/area protection
48874217,4.3,Awareness & communications
48874217,1.2,Resource & habitat protection
48873111,1.1,Site/area protection
48872923,1.1,Site/area protection
48872923,1.2,Resource & habitat protection
177756483,1.1,Site/area protection
177756483,4.3,Awareness & communications
177756483,1.2,Resource & habitat protection
208598052,1.1,Site/area protection
208598052,2.1,Site/area management
73786986,1.1,Site/area protection
73786986,1.2,Resource & habitat protection
73787038,1.1,Site/area protection
73787038,1.2,Resource & habitat protection
73787369,2.1,Site/area management
73788607,1.2,Resource & habitat protection
73788607,2.1,Site/area management
73788764,1.2,Resource & habitat protection
73788782,1.2,Resource & habitat protection
73788833,1.1,Site/area protection
73788833,1.2,Resource & habitat protection
73959431,1.2,Resource & habitat protection
73960020,1.1,Site/area protection
73960020,1.2,Resource & habitat protection
73960020,5.2,Policies and regulations
73960040,1.2,Resource & habitat protection
73961281,1.2,Resource & habitat protection
73963691,4.3,Awareness & communications
73963691,1.2,Resource & habitat protection
73964539,1.1,Site/area protection
73964539,1.2,Resource & habitat protection
73965400,1.1,Site/area protection
73965400,1.2,Resource & habitat protection
73965533,1.1,Site/area protection
73965533,1.2,Resource & habitat protection
73967847,1.1,Site/area protection
73967847,4.3,Awareness & communications
73967847,1.2,Resource & habitat protection
73967876,4.3,Awareness & communications
73967876,1.2,Resource & habitat protection
73967876,5.2,Policies and regulations
73967915,1.2,Resource & habitat protection
73967915,2.1,Site/area management
73971314,1.1,Site/area protection
73971314,4.3,Awareness & communications
73971314,1.2,Resource & habitat protection
73972049,1.1,Site/area protection
73972049,1.2,Resource & habitat protection
73972645,1.1,Site/area protection
73972645,1.2,Resource & habitat protection
189814,2.1,Site/area management
87739329,1.1,Site/area protection
87739329,1.2,Resource & habitat protection
87739247,1.2,Resource & habitat protection
112691330,1.1,Site/area protection
112691330,4.3,Awareness & communications
112691330,1.2,Resource & habitat protection
112691501,1.1,Site/area protection
112691501,4.3,Awareness & communications
112691501,1.2,Resource & habitat protection
112691545,1.1,Site/area protection
112691545,4.3,Awareness & communications
112691545,1.2,Resource & habitat protection
36652,3.1.1,Harvest management
36652,3.4.2,Genome resource bank
31199,3.2,Species recovery
31199,5.2,Policies and regulations
31199,2.3,Habitat & natural process restoration
38821,3.2,Species recovery
38821,3.4.2,Genome resource bank
38821,2.1,Site/area management
38821,2.3,Habitat & natural process restoration
31170,3.1.1,Harvest management
31170,3.2,Species recovery
31170,3.4.2,Genome resource bank
31170,1.2,Resource & habitat protection
119243084,1.1,Site/area protection
119243084,1.2,Resource & habitat protection
119243159,1.1,Site/area protection
119243159,1.2,Resource & habitat protection
119243173,1.1,Site/area protection
119243173,1.2,Resource & habitat protection
31220,1.2,Resource & habitat protection
31220,4.3,Awareness & communications
31220,1.1,Site/area protection
33497,1.1,Site/area protection
33497,4.3,Awareness & communications
33497,1.2,Resource & habitat protection
62565,1.2,Resource & habitat protection
62565,4.3,Awareness & communications
62565,1.1,Site/area protection
144052276,1.2,Resource & habitat protection
144052276,4.3,Awareness & communications
144052276,1.1,Site/area protection
144053300,1.2,Resource & habitat protection
144053300,4.3,Awareness & communications
144053300,1.1,Site/area protection
144056383,1.2,Resource & habitat protection
144056383,4.3,Awareness & communications
144056383,1.1,Site/area protection
145290519,1.2,Resource & habitat protection
145290519,4.3,Awareness & communications
145290519,1.1,Site/area protection
145301615,1.2,Resource & habitat protection
145301615,4.3,Awareness & communications
145301615,1.1,Site/area protection
145301728,1.2,Resource & habitat protection
145301728,5.1.1,International level
145301728,1.1,Site/area protection
145301965,1.2,Resource & habitat protection
145301965,4.3,Awareness & communications
145301965,1.1,Site/area protection
145310645,1.2,Resource & habitat protection
145310645,4.3,Awareness & communications
145310645,1.1,Site/area protection
145311979,1.2,Resource & habitat protection
145311979,4.3,Awareness & communications
145311979,1.1,Site/area protection
145344026,1.2,Resource & habitat protection
145344026,4.3,Awareness & communications
145344026,1.1,Site/area protection
145404323,1.2,Resource & habitat protection
145404323,4.3,Awareness & communications
145404323,1.1,Site/area protection
37611,3.4.2,Genome resource bank
37611,3.4.1,Captive breeding/artificial propagation
149680126,1.2,Resource & habitat protection
149682598,1.1,Site/area protection
149682598,1.2,Resource & habitat protection
149682598,2.3,Habitat & natural process restoration
31200,3.2,Species recovery
31200,2.1,Site/area management
31200,2.3,Habitat & natural process restoration
32866,3.2,Species recovery
32866,3.4.2,Genome resource bank
32866,2.3,Habitat & natural process restoration
150087536,1.1,Site/area protection
150087536,1.2,Resource & habitat protection
150087712,1.1,Site/area protection
150087712,1.2,Resource & habitat protection
150087877,1.1,Site/area protection
150087877,1.2,Resource & habitat protection
150088659,1.2,Resource & habitat protection
150088659,1.1,Site/area protection
152958245,1.2,Resource & habitat protection
152958245,4.3,Awareness & communications
152958245,1.1,Site/area protection
153115088,1.2,Resource & habitat protection
153115088,4.3,Awareness & communications
153115088,1.1,Site/area protection
153116010,1.2,Resource & habitat protection
153116010,4.3,Awareness & communications
153116010,1.1,Site/area protection
153116061,1.2,Resource & habitat protection
153116061,1.1,Site/area protection
153116061,4.3,Awareness & communications
209668480,1.1,Site/area protection
209668480,1.2,Resource & habitat protection
157146680,1.2,Resource & habitat protection
157146680,4.3,Awareness & communications
157146680,1.1,Site/area protection
157150683,1.1,Site/area protection
157150683,4.3,Awareness & communications
157150683,1.2,Resource & habitat protection
158847184,1.1,Site/area protection
158847184,4.3,Awareness & communications
158847184,1.2,Resource & habitat protection
159074166,1.2,Resource & habitat protection
159074166,4.3,Awareness & communications
159074166,1.1,Site/area protection
159079094,1.1,Site/area protection
159079094,4.3,Awareness & communications
159079094,1.2,Resource & habitat protection
159079733,1.2,Resource & habitat protection
159079733,4.3,Awareness & communications
159079733,1.1,Site/area protection
159080036,1.1,Site/area protection
159080036,4.3,Awareness & communications
159080036,1.2,Resource & habitat protection
159080601,1.2,Resource & habitat protection
159080601,4.3,Awareness & communications
159080601,1.1,Site/area protection
159103471,1.1,Site/area protection
159103471,4.3,Awareness & communications
159103471,1.2,Resource & habitat protection
159104035,1.2,Resource & habitat protection
159104035,4.2,Training
159104035,1.1,Site/area protection
159121187,1.2,Resource & habitat protection
159121187,4.3,Awareness & communications
159121187,1.1,Site/area protection
54478,1.2,Resource & habitat protection
54478,2.1,Site/area management
54584,2.1,Site/area management
54584,4.3,Awareness & communications
54584,1.2,Resource & habitat protection
54593,1.1,Site/area protection
54593,1.2,Resource & habitat protection
54684,1.1,Site/area protection
54684,1.2,Resource & habitat protection
58203,1.1,Site/area protection
58203,1.2,Resource & habitat protection
58273,1.1,Site/area protection
58273,1.2,Resource & habitat protection
58273,2.1,Site/area management
197660098,1.1,Site/area protection
197660098,1.2,Resource & habitat protection
58312,1.1,Site/area protection
58312,1.2,Resource & habitat protection
58314,1.2,Resource & habitat protection
58377,1.1,Site/area protection
58377,1.2,Resource & habitat protection
58377,5.2,Policies and regulations
58379,1.1,Site/area protection
58379,1.2,Resource & habitat protection
58383,1.1,Site/area protection
58383,1.2,Resource & habitat protection
58385,1.2,Resource & habitat protection
58387,1.2,Resource & habitat protection
58387,5.2,Policies and regulations
58395,1.2,Resource & habitat protection
58395,1.1,Site/area protection
58399,4.3,Awareness & communications
58399,2.1,Site/area management
58401,2.1,Site/area management
58402,1.2,Resource & habitat protection
58403,1.1,Site/area protection
58403,1.2,Resource & habitat protection
58404,1.1,Site/area protection
58404,1.2,Resource & habitat protection
58571,1.2,Resource & habitat protection
58571,2.1,Site/area management
58571,2.2,Invasive/problematic species control
58788,1.1,Site/area protection
58788,1.2,Resource & habitat protection
58829,1.2,Resource & habitat protection
58829,1.1,Site/area protection
58847,1.1,Site/area protection
58847,1.2,Resource & habitat protection
58849,1.1,Site/area protection
58849,1.2,Resource & habitat protection
58876,1.1,Site/area protection
58876,1.2,Resource & habitat protection
58876,2.1,Site/area management
58903,2.1,Site/area management
58903,4.3,Awareness & communications
58926,2.1,Site/area management
58926,1.1,Site/area protection
58926,1.2,Resource & habitat protection
58926,2.2,Invasive/problematic species control
58926,4.3,Awareness & communications
58927,1.1,Site/area protection
58927,1.2,Resource & habitat protection
58927,2.1,Site/area management
58983,1.1,Site/area protection
58983,1.2,Resource & habitat protection
59027,1.1,Site/area protection
59027,4.3,Awareness & communications
59027,5.2,Policies and regulations
61850,1.1,Site/area protection
61850,1.2,Resource & habitat protection
61885,1.2,Resource & habitat protection
61885,1.1,Site/area protection
135879,1.1,Site/area protection
135879,1.2,Resource & habitat protection
136045,1.1,Site/area protection
136045,1.2,Resource & habitat protection
136049,2.1,Site/area management
136049,1.1,Site/area protection
158638,4.3,Awareness & communications
158638,1.2,Resource & habitat protection
173018,1.2,Resource & habitat protection
173018,1.1,Site/area protection
186160,2.1,Site/area management
186160,1.1,Site/area protection
186161,1.1,Site/area protection
186161,1.2,Resource & habitat protection
186163,1.2,Resource & habitat protection
186163,1.1,Site/area protection
186165,1.2,Resource & habitat protection
186165,1.1,Site/area protection
186166,2.1,Site/area management
187830,1.1,Site/area protection
187830,1.2,Resource & habitat protection
189700,1.1,Site/area protection
189700,1.2,Resource & habitat protection
78521208,1.1,Site/area protection
78521208,4.3,Awareness & communications
78521208,1.2,Resource & habitat protection
79080668,1.1,Site/area protection
79080668,1.2,Resource & habitat protection
79095367,2.3,Habitat & natural process restoration
79095367,1.2,Resource & habitat protection
79095367,1.1,Site/area protection
79719834,2.3,Habitat & natural process restoration
79719834,2.1,Site/area management
79719834,1.2,Resource & habitat protection
88368304,1.1,Site/area protection
88368304,1.2,Resource & habitat protection
89183211,1.1,Site/area protection
89183211,1.2,Resource & habitat protection
121370882,2.1,Site/area management
165414176,1.1,Site/area protection
165414176,1.2,Resource & habitat protection
88369128,1.1,Site/area protection
88369128,1.2,Resource & habitat protection
88369128,5.2,Policies and regulations
88378424,1.1,Site/area protection
88378424,4.3,Awareness & communications
88378424,1.2,Resource & habitat protection
88378424,5.2,Policies and regulations
88378891,1.1,Site/area protection
88378891,2.1,Site/area management
31169,3.2,Species recovery
33018,3.2,Species recovery
33018,3.3.2,Benign introduction
33022,3.2,Species recovery
33022,3.3.1,Reintroduction
33022,3.4.2,Genome resource bank
33023,3.2,Species recovery
33023,3.4.1,Captive breeding/artificial propagation
172587745,1.1,Site/area protection
172587745,4.3,Awareness & communications
172587745,1.2,Resource & habitat protection
172738069,1.2,Resource & habitat protection
172738069,4.3,Awareness & communications
172738069,1.1,Site/area protection
175597058,1.1,Site/area protection
175597058,4.3,Awareness & communications
175597058,1.2,Resource & habitat protection
175655434,3.4.1,Captive breeding/artificial propagation
175655434,3.1.1,Harvest management
175655434,3.1.2,Trade management
175655434,1.1,Site/area protection
175615495,1.1,Site/area protection
175615495,4.3,Awareness & communications
175615495,1.2,Resource & habitat protection
31275,3.2,Species recovery
31275,3.3.1,Reintroduction
31275,1.1,Site/area protection
31275,4.3,Awareness & communications
31275,1.2,Resource & habitat protection
31275,2.3,Habitat & natural process restoration
176680211,3.4.2,Genome resource bank
176680211,1.1,Site/area protection
176680211,4.3,Awareness & communications
176680211,2.3,Habitat & natural process restoration
176856760,3.2,Species recovery
176856760,3.3.1,Reintroduction
176856760,1.1,Site/area protection
176856760,4.3,Awareness & communications
176856760,2.3,Habitat & natural process restoration
176857958,1.1,Site/area protection
176857958,1.2,Resource & habitat protection
176857958,2.1,Site/area management
176857958,3.2,Species recovery
176857958,3.3.1,Reintroduction
176857958,4.3,Awareness & communications
176857958,6.4,Conservation payments
177962982,3.3.1,Reintroduction
177962982,3.4.1,Captive breeding/artificial propagation
177962982,1.1,Site/area protection
177962982,1.2,Resource & habitat protection
181140345,1.1,Site/area protection
181140345,1.2,Resource & habitat protection
181141076,1.1,Site/area protection
181141076,1.2,Resource & habitat protection
181473105,1.1,Site/area protection
181473105,2.2,Invasive/problematic species control
181473105,2.1,Site/area management
181140883,1.1,Site/area protection
181140883,1.2,Resource & habitat protection
186884431,3.4.1,Captive breeding/artificial propagation
184539455,3.4.1,Captive breeding/artificial propagation
184539455,1.1,Site/area protection
186884507,3.4.1,Captive breeding/artificial propagation
186884507,1.2,Resource & habitat protection
186884978,3.2,Species recovery
186884978,3.3.1,Reintroduction
186884978,3.4.1,Captive breeding/artificial propagation
186885185,1.1,Site/area protection
186885185,1.2,Resource & habitat protection
186301014,1.2,Resource & habitat protection
186301014,1.1,Site/area protection
186301014,4.3,Awareness & communications
186301014,5.1.2,National level
186301014,5.1.3,Sub-national level
191546628,3.2,Species recovery
191546628,3.4.1,Captive breeding/artificial propagation
191546628,1.1,Site/area protection
191546628,4.3,Awareness & communications
191546628,5.1.3,Sub-national level
191546628,1.2,Resource & habitat protection
191546628,5.2,Policies and regulations
191546628,2.1,Site/area management
191547129,3.3.1,Reintroduction
191547129,3.4.1,Captive breeding/artificial propagation
191547129,1.1,Site/area protection
191547129,4.3,Awareness & communications
191547129,1.2,Resource & habitat protection
191547129,2.1,Site/area management
191547129,2.3,Habitat & natural process restoration
191681904,3.3.1,Reintroduction
191681904,3.4.1,Captive breeding/artificial propagation
191681904,1.1,Site/area protection
168904,1.2,Resource & habitat protection
175218,3.1.1,Harvest management
175218,1.2,Resource & habitat protection
33645,3.2,Species recovery
33645,3.3.1,Reintroduction
33645,3.4.1,Captive breeding/artificial propagation
33645,1.1,Site/area protection
33645,4.3,Awareness & communications
33647,4.3,Awareness & communications
33647,2.3,Habitat & natural process restoration
38758,3.4.2,Genome resource bank
201031081,3.2,Species recovery
201031081,3.4.2,Genome resource bank
201031081,1.1,Site/area protection
201031081,2.1,Site/area management
202532388,1.1,Site/area protection
202532388,4.3,Awareness & communications
202532388,1.2,Resource & habitat protection
208974595,2.3,Habitat & natural process restoration
208974595,3.4.1,Captive breeding/artificial propagation
210010463,3.2,Species recovery
210010463,2.1,Site/area management
210010463,2.2,Invasive/problematic species control
210010463,2.3,Habitat & natural process restoration
210013452,4.3,Awareness & communications
210013452,1.2,Resource & habitat protection
210013452,2.3,Habitat & natural process restoration
210013452,5.1.3,Sub-national level
210013545,3.2,Species recovery
210013545,1.2,Resource & habitat protection
210013545,2.3,Habitat & natural process restoration
210013949,3.2,Species recovery
210013949,1.2,Resource & habitat protection
215199522,3.4.1,Captive breeding/artificial propagation
215199522,1.1,Site/area protection
215199522,4.3,Awareness & communications
215199522,1.2,Resource & habitat protection
215199522,2.1,Site/area management
215199522,2.3,Habitat & natural process restoration
22679330,1.1,Site/area protection
22679330,4.3,Awareness & communications
222291660,2.1,Site/area management
222291660,2.3,Habitat & natural process restoration
222291715,3.2,Species recovery
222291715,2.3,Habitat & natural process restoration
222292291,3.2,Species recovery
222292291,3.4.2,Genome resource bank
22729465,1.1,Site/area protection
225970375,3.2,Species recovery
225970375,3.4.2,Genome resource bank
225970375,2.3,Habitat & natural process restoration
225970375,3.3.1,Reintroduction
22695494,1.1,Site/area protection
82031633,3.2,Species recovery
82031633,1.1,Site/area protection
82031633,4.3,Awareness & communications
82031633,1.2,Resource & habitat protection
82031633,2.1,Site/area management
33007,3.1.1,Harvest management
33007,3.1.2,Trade management
33007,3.4.2,Genome resource bank
33007,1.2,Resource & habitat protection
239579056,3.2,Species recovery
239579056,2.1,Site/area management
239579056,2.3,Habitat & natural process restoration
239579056,3.4.2,Genome resource bank
239579056,4.3,Awareness & communications
22681585,1.1,Site/area protection
22681585,1.2,Resource & habitat protection
22681585,2.3,Habitat & natural process restoration
4615,5.4.4,Scale unspecified
61985348,3.1.1,Harvest management
61985348,3.1.2,Trade management
61985348,6.4,Conservation payments
61985348,5.4.1,International level
61985348,5.4.2,National level
61985348,5.3,Private sector standards & codes
61985348,6.2,Substitution
61985348,3.4.1,Captive breeding/artificial propagation
61985348,4.3,Awareness & communications
61985348,6.1,Linked enterprises & livelihood alternatives
61985348,5.1.1,International level
61985348,5.1.2,National level
61985348,1.2,Resource & habitat protection
61987623,1.1,Site/area protection
61987623,4.3,Awareness & communications
61987623,2.1,Site/area management
253632034,2.1,Site/area management
33642,2.3,Habitat & natural process restoration
33642,3.2,Species recovery
33642,1.1,Site/area protection
129335824,1.1,Site/area protection
129335824,4.3,Awareness & communications
129335824,2.1,Site/area management
153112765,1.1,Site/area protection
153112765,4.3,Awareness & communications
153112765,1.2,Resource & habitat protection
155993997,1.1,Site/area protection
155993997,4.3,Awareness & communications
155993997,2.1,Site/area management
172580995,1.2,Resource & habitat protection
172580995,4.3,Awareness & communications
172580995,1.1,Site/area protection
31185,3.4.1,Captive breeding/artificial propagation
31185,3.4.2,Genome resource bank
31185,1.1,Site/area protection
31185,1.2,Resource & habitat protection
177944137,1.1,Site/area protection
177944137,4.3,Awareness & communications
177944137,1.2,Resource & habitat protection
179054974,3.4.2,Genome resource bank
187022603,2.1,Site/area management
187022603,1.2,Resource & habitat protection
187022663,1.2,Resource & habitat protection
187022663,2.3,Habitat & natural process restoration
187024265,1.2,Resource & habitat protection
187025460,1.2,Resource & habitat protection
191547570,3.4.1,Captive breeding/artificial propagation
191547570,2.1,Site/area management
191547570,2.3,Habitat & natural process restoration
202483877,1.1,Site/area protection
202483877,4.3,Awareness & communications
202483877,1.2,Resource & habitat protection
202483996,1.1,Site/area protection
202483996,4.3,Awareness & communications
202483996,1.2,Resource & habitat protection
202484066,1.1,Site/area protection
202484066,4.3,Awareness & communications
202484066,1.2,Resource & habitat protection
202536352,1.1,Site/area protection
202536352,4.3,Awareness & communications
202536352,1.2,Resource & habitat protection
202732050,1.1,Site/area protection
202732050,4.3,Awareness & communications
202732050,1.2,Resource & habitat protection
206837366,1.1,Site/area protection
206837366,4.3,Awareness & communications
206837366,1.2,Resource & habitat protection
38036,3.2,Species recovery
211716588,1.1,Site/area protection
211716588,2.1,Site/area management
213352738,1.1,Site/area protection
213352738,4.3,Awareness & communications
213352738,2.1,Site/area management
200533196,1.1,Site/area protection
200533196,4.3,Awareness & communications
200533196,2.1,Site/area management
220761693,1.1,Site/area protection
220761693,4.3,Awareness & communications
220761693,2.1,Site/area management
224100285,1.1,Site/area protection
224100285,4.3,Awareness & communications
224100285,2.1,Site/area management
224088253,1.1,Site/area protection
224088253,4.3,Awareness & communications
224088253,2.1,Site/area management
224106293,1.1,Site/area protection
224106293,4.3,Awareness & communications
224106293,2.1,Site/area management
224101293,1.1,Site/area protection
224101293,4.3,Awareness & communications
224101293,2.1,Site/area management
224085585,1.1,Site/area protection
224085585,4.3,Awareness & communications
224085585,2.1,Site/area management
224071631,1.1,Site/area protection
224071631,4.3,Awareness & communications
224071631,2.1,Site/area management
224101709,1.1,Site/area protection
224101709,4.3,Awareness & communications
224101709,2.1,Site/area management
226499453,3.2,Species recovery
226499453,3.4.1,Captive breeding/artificial propagation
226499453,1.1,Site/area protection
226499453,4.3,Awareness & communications
226499453,1.2,Resource & habitat protection
226499453,2.3,Habitat & natural process restoration
228007161,3.2,Species recovery
228007161,1.1,Site/area protection
228007161,4.3,Awareness & communications
228007388,3.2,Species recovery
228007388,2.1,Site/area management
239578615,4.3,Awareness & communications
239578615,2.1,Site/area management
239578615,2.2,Invasive/problematic species control
239578615,2.3,Habitat & natural process restoration
239578615,1.1,Site/area protection
239578975,1.1,Site/area protection
239578975,2.1,Site/area management
239578975,4.3,Awareness & communications
239578975,2.3,Habitat & natural process restoration
247297998,3.4.1,Captive breeding/artificial propagation
247297998,1.1,Site/area protection
247297998,2.1,Site/area management
254095810,3.3.1,Reintroduction
254095810,1.1,Site/area protection
254095810,4.3,Awareness & communications
254095810,2.1,Site/area management
254095865,3.2,Species recovery
254095865,3.3.1,Reintroduction
254095865,3.3.2,Benign introduction
254095865,1.1,Site/area protection
254095865,5.1.3,Sub-national level
254095865,2.1,Site/area management
254095865,3.4.1,Captive breeding/artificial propagation
15954,1.2,Resource & habitat protection
15954,5.4.3,Sub-national level
15954,5.1.3,Sub-national level
15954,6.1,Linked enterprises & livelihood alternatives
15954,2.3,Habitat & natural process restoration
15954,5.4.2,National level
15954,3.1.2,Trade management
15954,3.3.1,Reintroduction
15954,4.3,Awareness & communications
15954,5.1.2,National level
15954,3.1.1,Harvest management
15954,1.1,Site/area protection
